"year","common_name","count"
1999,"Acadian Flycatcher",1
1999,"American Crow",17
1999,"American Goldfinch",2
1999,"American Robin",2
1999,"Barn Swallow",12
1999,"Blue Grosbeak",3
1999,"Blue-gray Gnatcatcher",9
1999,"Brown-headed Cowbird",2
1999,"Canada Goose",28
1999,"Carolina Wren",12
1999,"Chimney Swift",3
1999,"Chipping Sparrow",7
1999,"Common Grackle",10
1999,"Downy Woodpecker",1
1999,"Eastern Bluebird",9
1999,"Eastern Kingbird",2
1999,"Eastern Meadowlark",14
1999,"Eastern Phoebe",2
1999,"Eastern Towhee",1
1999,"Eastern Wood-Pewee",6
1999,"European Starling",17
1999,"Field Sparrow",2
1999,"Grasshopper Sparrow",3
1999,"Gray Catbird",1
1999,"Great Crested Flycatcher",1
1999,"House Finch",5
1999,"Indigo Bunting",11
1999,"Killdeer",2
1999,"Mourning Dove",18
1999,"Northern Bobwhite",1
1999,"Northern Cardinal",5
1999,"Northern Mockingbird",7
1999,"Ovenbird",3
1999,"Pine Warbler",1
1999,"Red-bellied Woodpecker",4
1999,"Red-eyed Vireo",10
1999,"Red-winged Blackbird",1
1999,"Scarlet Tanager",1
1999,"Tufted Titmouse",8
1999,"Turkey Vulture",1
1999,"White-breasted Nuthatch",1
1999,"Wood Thrush",4
1999,"Yellow-billed Cuckoo",1
1999,"American Goldfinch",5
1999,"American Robin",6
1999,"Barn Swallow",2
1999,"Blue Grosbeak",4
1999,"Blue Jay",1
1999,"Blue-gray Gnatcatcher",8
1999,"Brown-headed Cowbird",1
1999,"Carolina Chickadee",5
1999,"Carolina Wren",2
1999,"Chimney Swift",7
1999,"Common Grackle",2
1999,"Common Yellowthroat",2
1999,"Downy Woodpecker",1
1999,"Eastern Bluebird",6
1999,"Eastern Meadowlark",2
1999,"Eastern Phoebe",5
1999,"Eastern Wood-Pewee",2
1999,"European Starling",6
1999,"Field Sparrow",5
1999,"Grasshopper Sparrow",2
1999,"Great Crested Flycatcher",2
1999,"Indigo Bunting",8
1999,"Mourning Dove",17
1999,"Northern Cardinal",16
1999,"Northern Mockingbird",5
1999,"Red-bellied Woodpecker",7
1999,"Red-eyed Vireo",7
1999,"Red-winged Blackbird",3
1999,"Song Sparrow",1
1999,"Summer Tanager",1
1999,"Tufted Titmouse",14
1999,"Wood Thrush",6
1999,"Yellow-throated Warbler",2
1999,"American Crow",22
1999,"American Goldfinch",8
1999,"American Robin",9
1999,"Blue Grosbeak",2
1999,"Blue Jay",7
1999,"Blue-gray Gnatcatcher",3
1999,"Brown Thrasher",5
1999,"Brown-headed Nuthatch",1
1999,"Canada Goose",8
1999,"Carolina Chickadee",9
1999,"Carolina Wren",11
1999,"Chimney Swift",5
1999,"Chipping Sparrow",19
1999,"Common Grackle",23
1999,"Downy Woodpecker",1
1999,"Eastern Bluebird",17
1999,"Eastern Meadowlark",13
1999,"Eastern Towhee",5
1999,"Eastern Wood-Pewee",3
1999,"European Starling",21
1999,"Field Sparrow",5
1999,"Gray Catbird",1
1999,"Great Crested Flycatcher",2
1999,"House Finch",3
1999,"House Sparrow",10
1999,"Indigo Bunting",10
1999,"Mourning Dove",39
1999,"Northern Bobwhite",1
1999,"Northern Cardinal",13
1999,"Northern Mockingbird",16
1999,"Ovenbird",1
1999,"Pine Warbler",11
1999,"Red-bellied Woodpecker",6
1999,"Red-eyed Vireo",6
1999,"Summer Tanager",1
1999,"Tufted Titmouse",11
1999,"White-breasted Nuthatch",2
1999,"White-eyed Vireo",1
1999,"Wood Thrush",15
1999,"Acadian Flycatcher",1
1999,"American Crow",29
1999,"American Goldfinch",2
1999,"American Robin",3
1999,"Blue Jay",6
1999,"Blue-gray Gnatcatcher",2
1999,"Brown Thrasher",1
1999,"Brown-headed Cowbird",6
1999,"Carolina Chickadee",11
1999,"Carolina Wren",20
1999,"Chimney Swift",2
1999,"Chipping Sparrow",4
1999,"Common Grackle",1
1999,"Eastern Bluebird",1
1999,"Eastern Phoebe",2
1999,"Eastern Towhee",4
1999,"Eastern Wood-Pewee",1
1999,"European Starling",4
1999,"Field Sparrow",2
1999,"Fish Crow",1
1999,"House Finch",3
1999,"House Sparrow",1
1999,"Indigo Bunting",11
1999,"Mourning Dove",7
1999,"Northern Bobwhite",1
1999,"Northern Cardinal",25
1999,"Northern Parula",1
1999,"Orchard Oriole",1
1999,"Pine Warbler",7
1999,"Red-bellied Woodpecker",5
1999,"Red-eyed Vireo",8
1999,"Red-winged Blackbird",1
1999,"Scarlet Tanager",1
1999,"Tufted Titmouse",11
1999,"White-breasted Nuthatch",2
1999,"Wood Thrush",3
1999,"Yellow-breasted Chat",3
1999,"American Crow",34
1999,"American Goldfinch",8
1999,"American Robin",2
1999,"Barn Swallow",12
1999,"Blue Grosbeak",2
1999,"Blue Jay",1
1999,"Blue-gray Gnatcatcher",7
1999,"Brown Thrasher",3
1999,"Brown-headed Nuthatch",1
1999,"Canada Goose",2
1999,"Carolina Chickadee",10
1999,"Carolina Wren",27
1999,"Chimney Swift",4
1999,"Chipping Sparrow",12
1999,"Common Grackle",33
1999,"Common Yellowthroat",2
1999,"Downy Woodpecker",8
1999,"Eastern Bluebird",6
1999,"Eastern Meadowlark",20
1999,"Eastern Phoebe",4
1999,"Eastern Towhee",3
1999,"Eastern Wood-Pewee",2
1999,"European Starling",15
1999,"Field Sparrow",3
1999,"Grasshopper Sparrow",3
1999,"Great Blue Heron",1
1999,"Great Crested Flycatcher",3
1999,"House Finch",12
1999,"House Sparrow",6
1999,"Indigo Bunting",27
1999,"Killdeer",1
1999,"Mourning Dove",40
1999,"Northern Bobwhite",1
1999,"Northern Cardinal",24
1999,"Northern Mockingbird",10
1999,"Orchard Oriole",1
1999,"Ovenbird",2
1999,"Pileated Woodpecker",1
1999,"Pine Warbler",15
1999,"Prairie Warbler",3
1999,"Red-bellied Woodpecker",9
1999,"Red-eyed Vireo",7
1999,"Red-winged Blackbird",8
1999,"Ruby-throated Hummingbird",1
1999,"Scarlet Tanager",1
1999,"Summer Tanager",1
1999,"Tufted Titmouse",8
1999,"White-breasted Nuthatch",3
1999,"Wood Thrush",3
1999,"Yellow-breasted Chat",3
1999,"American Crow",24
1999,"American Goldfinch",4
1999,"Blue Grosbeak",1
1999,"Blue Jay",2
1999,"Blue-gray Gnatcatcher",11
1999,"Brown Thrasher",2
1999,"Carolina Chickadee",10
1999,"Carolina Wren",13
1999,"Chipping Sparrow",5
1999,"Common Grackle",54
1999,"Eastern Bluebird",6
1999,"Eastern Phoebe",1
1999,"Eastern Towhee",7
1999,"European Starling",4
1999,"Fish Crow",2
1999,"Gray Catbird",4
1999,"House Finch",4
1999,"Indigo Bunting",4
1999,"Mourning Dove",8
1999,"Northern Cardinal",30
1999,"Northern Mockingbird",4
1999,"Pine Warbler",10
1999,"Prairie Warbler",1
1999,"Red-bellied Woodpecker",3
1999,"Red-eyed Vireo",11
1999,"Red-winged Blackbird",1
1999,"Ruby-throated Hummingbird",1
1999,"Tufted Titmouse",8
1999,"Turkey Vulture",1
1999,"Wood Thrush",10
1999,"Yellow-breasted Chat",1
1999,"Acadian Flycatcher",1
1999,"American Crow",19
1999,"American Goldfinch",1
1999,"American Robin",13
1999,"Blue Grosbeak",1
1999,"Blue Jay",1
1999,"Blue-gray Gnatcatcher",4
1999,"Brown-headed Cowbird",4
1999,"Canada Goose",2
1999,"Carolina Chickadee",11
1999,"Carolina Wren",19
1999,"Chimney Swift",5
1999,"Chipping Sparrow",15
1999,"Common Grackle",4
1999,"Common Yellowthroat",6
1999,"Eastern Bluebird",14
